,sentence,aspect,sentiment
2303,it is heavenly  all for less than 100 ,quality,Positive
2304,they have one of the most tastiest egg fried rice i ve ever tried  ,quality,Positive
2305,it s like addictive this was my recent favourite  price wise affordable also quite worth the money they give both veg and non veg sides along with egg rice  ultimately all sides tastes similar ive tried almost all the food combos here everything was good   go for it ,price,Positive
2306,it s like addictive this was my recent favourite  price wise affordable also quite worth the money they give both veg and non veg sides along with egg rice  ultimately all sides tastes similar ive tried almost all the food combos here everything was good   go for it ,quality,Positive
2307,i must say the ambience is still so marvelous ,environment,Positive
2308,each wall has something interesting by itself ,environment,Positive
2309,a great place for photography ,environment,Positive
2310,coming to the food ,price,Positive
2311,cajun chicken breast sizzler  the bao s are a must try ,quality,Positive
2312,both of them were yummy ,quality,Positive
2313,fish and chips were in the same category as well but this time the fish wasn t that great ,quality,Negative
2314,coming to the sizzler   i felt chicken was a little hard and the veges needed a pinch of salt ,quality,Negative
2315,a little bland for my taste ,quality,Negative
2316,other than that everything was good ,other,Positive
2317,nice,other,Positive
2318,as of now  i have tried 2 rice bowls and 1 shawarma from here   1  non veg green slimy monster bowl 2  veg the iron monster bowl 3  desi original chicken shawarma  all 3 of them i liked a lot  especially 1  and 3  ,quality,Positive
2319,me being a healthy food eating person  instructions of using less oil and less chilli were correctly taken into account by the restaurant and the taste also was great ,quality,Positive
2320,quality and quantity were both quite satisfying ,quality,Positive
2321,great job       one suggestion from my side will be to add calories  ingredients and nutritients information  for ex  protein  fat  carbs content  micro nutrients information  for each dish being offered ,other,Neutral
2322,this will be very helpful for everyone especially for people like me who want to eat clean and healthy ,quality,Positive
2323,veg review     i have visited its other branch in banjara hills many times and have always liked their food    ,quality,Positive
2324,so wanted to give this branch a try ,other,Positive
2325,food here is great too    dishes ordered  pepper fried paneer   i personally don t like starters if they are very crisp so couldn t enjoy it much      pan fried noodles   amazing    loved it  ,quality,Positive
2326,mushroom pepper chilly   good but felt it didnt go very well with noodles brownie   very soft and juicy,quality,Neutral
2327,it s a good place with awesome ambience and a wide variety of dishes to choose from ,quality,Positive
2328,it s a good place with awesome ambience and a wide variety of dishes to choose from ,environment,Positive
2329,would love to go again here ,other,Positive
2330,pros  ambience  food  alcohol  service ,environment,Positive
2331,i liked the place ,other,Positive
2332,easy access to the restaurant from dlf ,other,Positive
2333,liked it ,other,Positive
2334,would come back to try couple more dishes ,other,Positive
2335,this is a good place to have some quick food etc and you can find all varieties and prices are also not much ,quality,Positive
2336,this is a good place to have some quick food etc and you can find all varieties and prices are also not much ,service,Positive
2337,this is a good place to have some quick food etc and you can find all varieties and prices are also not much ,other,Positive
2338,overall it s a good place ,other,Positive
2339,ambience could be better but given the nature of business it looks good ,environment,Positive
2340,the place is very ambient ,environment,Positive
2341,roof top gives you a very good view ,environment,Positive
2342,baskets are hung here as well to add to the ceiling beauty ,environment,Positive
2343,pocket friendly prices ,price,Positive
2344,staff is helpful and courteous ,service,Positive
2345,they play good bollywood music preferably punjabi 10 30 pm onwards with a  dholwala  playing dhol to dance on the beats ,environment,Positive
2346,do carry your id cards with a visible photo  mindfully ,other,Neutral
